year_start,k1t_f,k2t_f
1980,-2.6159080187911643,-0.13136165851957965
1981,-2.3965254946980648,-0.17766463869648785
1982,-2.1796524824370374,-0.18985144744815455
1983,-2.067807192302262,-0.2787464028208876
1984,-1.890862310645266,-0.25597056914348904
1985,-1.7337225890123609,-0.25225608545200034
1986,-1.5014975151624916,-0.19807817472650982
1987,-1.3884188880267403,-0.14095886183294087
1988,-1.217081253659455,-0.08250887561636959
1989,-1.0832825043040102,-0.022361923069658764
1990,-0.779381256248584,0.04138842453374143
1991,-0.6673646774867351,0.17450340814256327
1992,-0.3295617125264302,0.23316801004471988
1993,-0.21453242336078815,0.2946766663033459
1994,0.029159101519057692,0.3586120499106161
1995,0.08054407958206987,0.4450677567298275
1996,0.23531830697362857,0.4713176927464189
1997,0.33836046303336964,0.42037494653311613
1998,0.5625409538717204,0.35731289347280526
1999,0.7378090259431715,0.21786362451319863
2000,0.9641816928007428,0.16470428523657044
2001,1.0033817481280418,0.06856717948889336
2002,1.2400114430782918,0.1148212143065952
2003,1.4675328484339698,0.06736688689943587
2004,1.7830323349358626,-3.602234396548535e-05
2005,1.9758296359676901,-0.09910774906021752
2006,2.071034583649572,-0.2818164758187317
2007,2.2439528590935134,-0.3807482324119923
2008,2.4536666322552603,-0.45926347670606216
2009,2.879242609395439,-0.47901444519480196
