age,mx_m,qx_m,lx_m,dx_m,ex_m,mx_f,qx_f,lx_f,dx_f,ex_f,year_start,year_end,k1t_m,k2t_m,ax_m,b1x_m,b2x_m,k1t_f,k2t_f,ax_f,b1x_f,b2x_f,log_mx_m,log_M1x_m,log_M2x_m,log_mx_f,log_M1x_f,log_M2x_f,E1x_m,E2x_m,E1x_f,E2x_f
10,0.000234,0.000234,98365.1,23.0,61.97,0.000204,0.000204,98735.1,20.1,67.78,1980,1982,-3.195892923755025,-0.6754152554018575,-8.798420126567743,-0.16022460967402982,0.022403033768335363,-2.6206761961593656,-0.4627447296627249,-9.051500154738255,-0.15944411520888307,0.022026695437277963,-8.360189442606572,-8.2863594302991,-8.301490781073516,-8.497390564120058,-8.633648757392644,-8.64384149461813,0.07383001230747155,0.058698661533055585,-0.13625819327258526,-0.14645093049807123
11,0.000266,0.000266,98342.0,26.2,60.99,0.000182,0.000182,98715.0,17.9,66.79,1980,1982,-3.195892923755025,-0.6754152554018575,-8.696487043981826,-0.16024309370200807,-0.044868717984330966,-2.6206761961593656,-0.4627447296627249,-9.054039563084782,-0.1366088514255978,-0.11418981661223382,-8.232014249182575,-8.184367274738964,-8.154062258122023,-8.611503870887478,-8.696031997969046,-8.643191262150582,0.047646974443610546,0.0779519910605515,-0.0845281270815672,-0.03168739126310349
12,0.000258,0.000258,98315.8,25.4,60.0,0.000176,0.000176,98697.1,17.4,65.8,1980,1982,-3.195892923755025,-0.6754152554018575,-8.610307512948802,-0.13625918028262088,0.11186067325931999,-2.6206761961593656,-0.4627447296627249,-8.914215789715142,-0.1277060094637106,-0.10010893126028782,-8.262550973042657,-8.174837762886915,-8.250390168085781,-8.645026562926123,-8.579539690607092,-8.533214810274226,0.08771321015574252,0.012160804956875992,0.06548687231903116,0.11181175265189758
13,0.000295,0.000295,98290.5,29.0,59.02,0.000197,0.000197,98679.7,19.4,64.81,1980,1982,-3.195892923755025,-0.6754152554018575,-8.458732188778761,-0.13931132540412428,0.06672590649933899,-2.6206761961593656,-0.4627447296627249,-8.867402493574167,-0.13287250770544243,-0.036303591788046756,-8.128535201624453,-8.013508109720787,-8.058575804900958,-8.532306829226286,-8.519186675506512,-8.502387379738767,0.11502709190366645,0.06995939672349571,0.013120153719773597,0.02991944948751879
14,0.000369,0.000369,98261.5,36.3,58.04,0.000223,0.000223,98660.3,22.0,63.83,1980,1982,-3.195892923755025,-0.6754152554018575,-8.279524700145478,-0.14220470147250036,0.09380815754712318,-2.6206761961593656,-0.4627447296627249,-8.691593638061905,-0.12496636644685521,0.0921861097317782,-7.904713913923747,-7.825053700984818,-7.888413161673286,-8.408338786504155,-8.364097256194103,-8.406755892620593,0.07966021293892833,0.01630075225046035,0.0442415303100514,0.001582893883561809
15,0.000416,0.000416,98225.2,40.9,57.06,0.000247,0.000247,98638.4,24.4,62.84,1980,1982,-3.195892923755025,-0.6754152554018575,-8.036060072656944,-0.11980012199251995,-0.009674351033675884,-2.6206761961593656,-0.4627447296627249,-8.54397855828861,-0.11392661964981203,0.11695141322852352,-7.784825297703011,-7.653191710516062,-7.646657506241804,-8.306122221336297,-8.245413778063446,-8.299532428161552,0.13163358718694962,0.13816779146120695,0.0607084432728513,0.006589793174745395
16,0.000538,0.000538,98184.4,52.8,56.08,0.000311,0.000311,98614.0,30.7,61.86,1980,1982,-3.195892923755025,-0.6754152554018575,-7.7386794704188935,-0.10552700433221585,0.08289885697947971,-2.6206761961593656,-0.4627447296627249,-8.331534216522227,-0.08922890680946223,0.2114823399456044,-7.52765199780249,-7.401426464008499,-7.457417616667817,-8.07571764578504,-8.097694144437348,-8.195556482663918,0.12622553379399104,0.07023438113467328,-0.02197649865230744,-0.11983883687887698
17,0.001036,0.001035,98131.6,101.6,55.11,0.000319,0.000319,98583.3,31.4,60.88,1980,1982,-3.195892923755025,-0.6754152554018575,-7.309137140343606,-0.11005705643179338,-0.015387274747996277,-2.6206761961593656,-0.4627447296627249,-8.170040910719925,-0.07785329328651147,0.13329338523348494,-6.8723881351448455,-6.95740657248393,-6.947013772380074,-8.05031945517943,-7.9660126382113505,-8.02769344972705,-0.08501843733908476,-0.0746256372352283,0.08430681696807962,0.022626005452380582
18,0.001096,0.001095,98030.0,107.4,54.17,0.00038,0.00038,98551.9,37.5,59.89,1980,1982,-3.195892923755025,-0.6754152554018575,-7.125808892584075,-0.08677897490224792,0.13772207825327734,-2.6206761961593656,-0.4627447296627249,-8.115095304808891,-0.05988566796282808,0.1133269953685511,-6.816088090456313,-6.848472580763266,-6.941492173421178,-7.875339305243843,-7.958154360287604,-8.010595830122913,-0.032384490306952785,-0.12540408296486483,-0.08281505504376074,-0.13525652487907003
19,0.001052,0.001052,97922.6,103.0,53.23,0.00033,0.00033,98514.4,32.5,58.92,1980,1982,-3.195892923755025,-0.6754152554018575,-7.105307233016008,-0.07639113965908964,0.15983276075215846,-2.6206761961593656,-0.4627447296627249,-8.103296373072473,-0.046178729226356456,0.1563593715051349,-6.857062164666619,-6.861169330341942,-6.969122815266945,-8.016417903503749,-7.982276876620071,-8.054631351717449,-0.004107165675322655,-0.1120606506003261,0.03414102688367748,-0.03821344821369976
20,0.001001,0.001001,97819.6,97.9,52.28,0.000375,0.000375,98481.9,36.9,57.94,1980,1982,-3.195892923755025,-0.6754152554018575,-7.067420474532656,-0.0636899719790952,0.11716353087440033,-2.6206761961593656,-0.4627447296627249,-8.10788627123272,-0.06429047826779283,0.133674787688314,-6.906755778649053,-6.86387414377051,-6.943008179899826,-7.888584531993863,-7.939401745196615,-8.001259048688166,0.04288163487854302,-0.036252401250773225,-0.05081721320275179,-0.11267451669430262
21,0.000884,0.000884,97721.7,86.4,51.33,0.000338,0.000338,98445.0,33.3,56.96,1980,1982,-3.195892923755025,-0.6754152554018575,-7.08287665516948,-0.0492186573364605,0.19880046246780592,-2.6206761961593656,-0.4627447296627249,-8.087769122729675,-0.04714181369744037,0.24843387814454942,-7.03105349532663,-6.9255790964711625,-7.059851961602863,-7.992464662481256,-7.964225693729014,-8.079187161510076,0.10547439885546783,-0.028798466276232837,0.028238968752241966,-0.08672249902882001
22,0.000877,0.000877,97635.3,85.6,50.38,0.000358,0.000358,98411.7,35.2,55.98,1980,1982,-3.195892923755025,-0.6754152554018575,-7.073243359229822,-0.04325341363562637,0.21829740676000825,-2.6206761961593656,-0.4627447296627249,-8.104965374859258,-0.053830425706141244,0.21898350563181868,-7.0390035655920915,-6.935010080663474,-7.082451479403848,-7.934977571563574,-7.963893259582049,-8.06522672269624,0.10399348492861726,-0.0434479138117565,-0.02891568801847466,-0.13024915113266555
23,0.00086,0.000859,97549.8,83.8,49.42,0.000385,0.000385,98376.4,37.8,55.0,1980,1982,-3.195892923755025,-0.6754152554018575,-7.081669668311767,-0.02552706745359087,0.2194669220173807,-2.6206761961593656,-0.4627447296627249,-8.092738477698985,-0.0494855174550232,0.10727297595554137,-7.05857816871672,-7.000087894072618,-7.148319201259247,-7.86226722367649,-7.963052960049977,-8.01269296430864,0.05849027464410206,-0.08974103254252697,-0.10078573637348676,-0.15042574063214964
24,0.000856,0.000856,97465.9,83.4,48.46,0.000376,0.000376,98338.6,36.9,54.02,1980,1982,-3.195892923755025,-0.6754152554018575,-7.088105918721797,-0.02422298256705354,0.27060923929540354,-2.6206761961593656,-0.4627447296627249,-8.06066648952778,-0.04967650849250283,0.2067250449518457,-7.063240181822532,-7.010691860143509,-7.193465468616316,-7.88592141457438,-7.930480446213169,-8.026141371253924,0.05254832167902279,-0.13022528679378453,-0.04455903163878894,-0.14021995667954457
25,0.000841,0.000841,97382.5,81.9,47.51,0.000393,0.000392,98301.7,38.6,53.04,1980,1982,-3.195892923755025,-0.6754152554018575,-7.074578679811781,-0.014508530811258177,0.2542292466396051,-2.6206761961593656,-0.4627447296627249,-8.017673703618623,-0.05714730335621572,0.10028895649459096,-7.080918897991326,-7.028210968857999,-7.199921280407709,-7.8417009460950124,-7.86790912603829,-7.914317312099536,0.05270792913332745,-0.11900238241638306,-0.02620817994327762,-0.07261636600452359
26,0.000889,0.000889,97300.7,86.5,46.55,0.000426,0.000426,98263.1,41.8,52.06,1980,1982,-3.195892923755025,-0.6754152554018575,-7.060210997021161,-0.02030619000000552,0.1937518075526792,-2.6206761961593656,-0.4627447296627249,-7.9495236064741475,-0.046265564709972104,0.05235978603932754,-7.02541332245037,-6.995314588091719,-7.126177514674484,-7.761071211694904,-7.8282765423368526,-7.852505757372819,0.030098734358650958,-0.10076419222411381,-0.06720533064194889,-0.09143454567791576
27,0.000864,0.000863,97214.2,83.9,45.59,0.000478,0.000478,98221.2,46.9,51.08,1980,1982,-3.195892923755025,-0.6754152554018575,-7.042828005595709,-0.012330820304120114,0.2375752429354288,-2.6206761961593656,-0.4627447296627249,-7.902753458148237,-0.047240981195269836,0.12692039439813543,-7.053937789160218,-7.003420024241676,-7.163881967626067,-7.645899825472818,-7.778950143246582,-7.837681886841033,0.050517764918541985,-0.10994417846584881,-0.13305031777376364,-0.1917820613682153
28,0.000871,0.000871,97130.2,84.6,44.63,0.00043,0.00043,98174.3,42.2,50.1,1980,1982,-3.195892923755025,-0.6754152554018575,-7.0167071694641345,-0.014703757605798513,0.18878509370181404,-2.6206761961593656,-0.4627447296627249,-7.850539244481397,-0.044052522775225006,0.027228605254334043,-7.045868581111772,-6.969715534579154,-7.097223866857829,-7.751725349276666,-7.735091846663597,-7.747691740241106,0.07615304653261745,-0.05135528574605708,0.016633502613069062,0.004033609035559493
29,0.0009,0.0009,97045.6,87.3,43.66,0.000488,0.000488,98132.1,47.9,49.13,1980,1982,-3.195892923755025,-0.6754152554018575,-6.9893863660772295,-0.0009725523324474235,0.22718695798650324,-2.6206761961593656,-0.4627447296627249,-7.795770294215776,-0.04785753847777876,0.02256820604416107,-7.013115794639964,-6.986278192959979,-7.139723730212404,-7.625195152111127,-7.670351182320281,-7.680794500725159,0.026837601679984502,-0.12660793557244077,-0.04515603020915382,-0.05559934861403182
30,0.000933,0.000933,96958.3,90.5,42.7,0.000533,0.000533,98084.2,52.3,48.15,1980,1982,-3.195892923755025,-0.6754152554018575,-6.9498661748665524,0.004841581955984763,0.15256273557609548,-2.6206761961593656,-0.4627447296627249,-7.710839930695568,-0.03983124417147263,0.008826379404170895,-6.977105357116931,-6.965339352379464,-7.068382551393399,-7.536989133798429,-7.606455137231978,-7.610539497783262,0.01176600473746614,-0.09127719427646852,-0.0694660034335488,-0.0735503639848325
31,0.000937,0.000937,96867.8,90.7,41.74,0.000564,0.000564,98031.9,55.3,47.18,1980,1982,-3.195892923755025,-0.6754152554018575,-6.914414356223507,0.001664235423684556,0.18196923544958746,-2.6206761961593656,-0.4627447296627249,-7.6354491330682865,-0.05705260664481032,0.044329510655723325,-6.972827275725852,-6.919733074437524,-7.042637872073987,-7.480456306466215,-7.485932724905388,-7.506445972329852,0.05309420128832798,-0.06981059634813569,-0.005476418439172903,-0.02598966586363627
32,0.000995,0.000995,96777.1,96.3,40.78,0.000606,0.000606,97976.6,59.3,46.2,1980,1982,-3.195892923755025,-0.6754152554018575,-6.85816149192832,0.004360409666987813,0.14055198194342544,-2.6206761961593656,-0.4627447296627249,-7.552994407945814,-0.04817372030138486,-0.02169916988346558,-6.912767820805682,-6.872096894327719,-6.967027847109275,-7.408630571894959,-7.426746685871535,-7.416705509369906,0.04067092647796233,-0.05426002630359328,-0.018116113976575754,-0.008074937474946253
33,0.001001,0.001,96680.9,96.7,39.82,0.000664,0.000663,97917.3,65.0,45.23,1980,1982,-3.195892923755025,-0.6754152554018575,-6.820915465771662,0.006000606742825858,0.1305046159944066,-2.6206761961593656,-0.4627447296627249,-7.476596749486736,-0.04808510636830821,0.004029227204411135,-6.906755778649053,-6.840092762399296,-6.928237570942279,-7.31722840848784,-7.350581255837519,-7.3524457594909745,0.06666301624975723,-0.02148179229322622,-0.03335284734967914,-0.03521735100313439
34,0.001076,0.001076,96584.2,103.9,38.86,0.000702,0.000701,97852.3,68.6,44.26,1980,1982,-3.195892923755025,-0.6754152554018575,-6.783391605877742,0.008959671999059829,0.07579517276671885,-2.6206761961593656,-0.4627447296627249,-7.380342090989289,-0.04510673467566507,-0.06081013550311701,-6.834504817242545,-6.812025758218703,-6.863218974191165,-7.261577153938463,-7.262131945138297,-7.233992375424153,0.022479059023841508,-0.02871415694862023,-0.0005547911998338151,0.02758477851430996
35,0.001193,0.001192,96480.3,115.0,37.9,0.000798,0.000797,97783.7,78.0,43.29,1980,1982,-3.195892923755025,-0.6754152554018575,-6.719284969583359,0.009442335043380403,0.022048731638793517,-2.6206761961593656,-0.4627447296627249,-7.2882266968077225,-0.053565198962178096,-0.0003010536205307124,-6.731284135866358,-6.749461661332223,-6.764353711043325,-7.133401960514465,-7.147849654945002,-7.147710343968756,-0.018177525465865152,-0.033069575176967625,-0.014447694430536728,-0.014308383454290308
36,0.001244,0.001243,96365.3,119.8,36.95,0.000897,0.000897,97705.8,87.6,42.32,1980,1982,-3.195892923755025,-0.6754152554018575,-6.669817538443443,0.003614464631851368,0.044346255284562125,-2.6206761961593656,-0.4627447296627249,-7.212720125967629,-0.052932683430622116,0.04492878495395868,-6.689423284665149,-6.68136898038354,-6.711321117722679,-7.016454695905478,-7.0740007025021585,-7.094791260949753,0.008054304281609248,-0.02189783305752968,-0.057546006596680854,-0.07833656504427555
37,0.001421,0.00142,96245.5,136.7,35.99,0.000943,0.000942,97618.2,92.0,41.36,1980,1982,-3.195892923755025,-0.6754152554018575,-6.600449722419886,-0.003933465982690122,0.03198661075602443,-2.6206761961593656,-0.4627447296627249,-7.1280002480206095,-0.049743792987242456,-0.01082066673675635,-6.556394429867174,-6.587878786319975,-6.609483031193196,-6.966444275330817,-6.997637873832264,-6.992630667328394,-0.03148435645280134,-0.05308860132602167,-0.03119359850144754,-0.026186391997576663
38,0.001544,0.001543,96108.8,148.3,35.04,0.001072,0.001072,97526.2,104.5,40.4,1980,1982,-3.195892923755025,-0.6754152554018575,-6.540442456971964,-0.00670699932392473,0.01822037683877932,-2.6206761961593656,-0.4627447296627249,-7.030605636212642,-0.05507932073374422,-0.01804022064483475,-6.473378827379553,-6.5190076052930035,-6.531313925769085,-6.838229216333527,-6.886260571465091,-6.8779125544397415,-0.04562877791345077,-0.05793509838953259,-0.04803135513156409,-0.03968333810621427
39,0.001684,0.001682,95960.5,161.4,34.1,0.001148,0.001147,97421.6,111.8,39.44,1980,1982,-3.195892923755025,-0.6754152554018575,-6.4483449397569155,-0.012714616830311465,0.0316036264577832,-2.6206761961593656,-0.4627447296627249,-6.932852467082524,-0.06218538627225021,-0.013973916519486944,-6.386583363162002,-6.407710385800667,-6.429055957236275,-6.769733981084762,-6.769884705529862,-6.763418349307723,-0.02112702263866506,-0.042472594074273395,-0.00015072444510000338,0.006315631777039421
40,0.002051,0.002049,95799.0,196.3,33.15,0.001329,0.001328,97309.9,129.2,38.49,1980,1982,-3.195892923755025,-0.6754152554018575,-6.358347546795789,-0.02368098285825894,-0.022589128837336585,-2.6206761961593656,-0.4627447296627249,-6.838069016310077,-0.05533196158755926,-0.02986804415277825,-6.189427799891893,-6.2826656612515155,-6.26740861902854,-6.623328499251029,-6.693061861690756,-6.679240581673724,-0.09323786135962209,-0.07798081913664667,-0.06973336243972739,-0.05591208242269552
41,0.00228,0.002278,95602.7,217.8,32.22,0.001484,0.001483,97180.7,144.1,37.54,1980,1982,-3.195892923755025,-0.6754152554018575,-6.271156515352886,-0.02890162248523027,-0.009008133591961445,-2.6206761961593656,-0.4627447296627249,-6.742451263250261,-0.05929017038263395,-0.0029401872267795365,-6.083579836015788,-6.1787900245672995,-6.172705793716591,-6.513014134236948,-6.5870709250622586,-6.5857103689188445,-0.09521018855151198,-0.08912595770080323,-0.07405679082531069,-0.07269623468189668
42,0.002319,0.002316,95384.9,220.9,31.29,0.00159,0.001589,97036.5,154.1,36.59,1980,1982,-3.195892923755025,-0.6754152554018575,-6.194341918806549,-0.034033933464448864,-0.03859285750670713,-2.6206761961593656,-0.4627447296627249,-6.639605799726529,-0.065538791049437,0.011304352111275071,-6.066619220708742,-6.085573111679968,-6.0595069069703875,-6.444021262749997,-6.467849850098207,-6.4730808794599515,-0.018953890971225462,0.007112313738354636,-0.02382858734821003,-0.029059616709954383
43,0.002654,0.002651,95164.0,252.2,30.36,0.001811,0.00181,96882.4,175.3,35.65,1980,1982,-3.195892923755025,-0.6754152554018575,-6.09955291599393,-0.039015657351380004,-0.016664400262635316,-2.6206761961593656,-0.4627447296627249,-6.530649505248857,-0.06611235353639332,0.0272369810013409,-5.931687343072121,-5.974863052749003,-5.963607662589497,-6.3138761000808605,-6.357390434063959,-6.369994203474253,-0.043175709676882335,-0.03192031951737562,-0.04351433398309812,-0.05611810339339218
44,0.003093,0.003089,94911.8,293.1,29.44,0.002031,0.002029,96707.0,196.2,34.71,1980,1982,-3.195892923755025,-0.6754152554018575,-6.016355972685208,-0.050243406612005145,-0.07707886718338587,-2.6206761961593656,-0.4627447296627249,-6.436378986141131,-0.07154973779555468,0.005419122778147594,-5.778613785279204,-5.855783425028554,-5.803723182263802,-6.1992269963838895,-6.248870291458877,-6.251377961963859,-0.07716963974934998,-0.025109396984597687,-0.049643295074987215,-0.0521509655799699
45,0.003506,0.0035,94618.6,331.2,28.53,0.002247,0.002244,96510.8,216.6,33.78,1980,1982,-3.195892923755025,-0.6754152554018575,-5.902091205494697,-0.05971916378839394,-0.0825104718762084,-2.6206761961593656,-0.4627447296627249,-6.332738432812223,-0.08123014473540596,-0.03424043397877283,-5.653279492483095,-5.711235152530802,-5.655506321095205,-6.098159285778945,-6.119860526093565,-6.1040159457285235,-0.057955660047706914,-0.002226828612109877,-0.02170124031461995,-0.00585665994957818
46,0.003897,0.00389,94287.5,366.8,27.63,0.00254,0.002537,96294.2,244.3,32.86,1980,1982,-3.195892923755025,-0.6754152554018575,-5.807256548557679,-0.06774937959546665,-0.06389387818093734,-2.6206761961593656,-0.4627447296627249,-6.241287526907504,-0.0783312096791058,-0.021572604218682186,-5.547548252625565,-5.590736785719734,-5.547581885669541,-5.975591197951692,-6.036006790285104,-6.026024181377808,-0.04318853309416948,-3.3633043976522004e-05,-0.06041559233341154,-0.05043298342611635
47,0.004439,0.004429,93920.7,416.0,26.74,0.00279,0.002786,96050.0,267.6,31.94,1980,1982,-3.195892923755025,-0.6754152554018575,-5.71038312817003,-0.07172387230077511,-0.04835328149971029,-2.6206761961593656,-0.4627447296627249,-6.1354199470190975,-0.08532357363070821,0.004924006481560987,-5.417326153130239,-5.481161312219674,-5.44850276824603,-5.881713683148863,-5.9118144886338495,-5.914093046682017,-0.06383515908943505,-0.031176615115790618,-0.03010080548498628,-0.032379363533153516
48,0.004795,0.004784,93504.7,447.3,25.85,0.003102,0.003097,95782.4,296.7,31.03,1980,1982,-3.195892923755025,-0.6754152554018575,-5.617968024502403,-0.07692679043547555,-0.07316081168344225,-2.6206761961593656,-0.4627447296627249,-6.039843566543508,-0.08359999448413413,-0.052622804310606834,-5.3401815706467355,-5.372118239302481,-5.322704310993902,-5.77570821422779,-5.8207550509998836,-5.796404125645077,-0.03193666865574585,0.017477259652833865,-0.045046836772093535,-0.020695911417287327
49,0.005667,0.005651,93057.4,525.8,24.97,0.003616,0.003609,95485.7,344.6,30.12,1980,1982,-3.195892923755025,-0.6754152554018575,-5.509065801690927,-0.0842463327344147,-0.05425235409762344,-2.6206761961593656,-0.4627447296627249,-5.950208473410837,-0.09503116563716624,-0.05769548003052061,-5.173095401794654,-5.239823543052699,-5.203180675453701,-5.622386836452207,-5.7011625597322375,-5.674464280422753,-0.06672814125804472,-0.03008527365904623,-0.0787757232800308,-0.052077443970546256
50,0.006381,0.00636,92531.5,588.5,24.11,0.003981,0.003973,95141.1,378.0,29.23,1980,1982,-3.195892923755025,-0.6754152554018575,-5.404410193299023,-0.08814213621887781,-0.06760021220012134,-2.6206761961593656,-0.4627447296627249,-5.826244719817301,-0.08632858935298528,-0.04129096028729886,-5.054430454095927,-5.12271736387246,-5.0770591492840955,-5.5262222349639565,-5.600005440651915,-5.580898266396255,-0.06828690977653284,-0.022628695188168457,-0.07378320568795882,-0.05467603143229827
51,0.007044,0.007019,91943.0,645.3,23.27,0.004224,0.004215,94763.1,399.4,28.35,1980,1982,-3.195892923755025,-0.6754152554018575,-5.30481220358798,-0.09056115064535913,-0.08902058603804863,-2.6206761961593656,-0.4627447296627249,-5.75485982246508,-0.09373463491671408,-0.007329270521168278,-4.955579088348177,-5.015388463073364,-4.955262601218452,-5.466972732578177,-5.509211695983159,-5.505820114677216,-0.059809374725187325,0.0003164871297247629,-0.04223896340498179,-0.03884738209903915
52,0.008,0.007968,91297.7,727.5,22.43,0.004681,0.00467,94363.7,440.7,27.46,1980,1982,-3.195892923755025,-0.6754152554018575,-5.202279775356786,-0.09555418123397263,-0.07753032063768803,-2.6206761961593656,-0.4627447296627249,-5.647567162956197,-0.10087308783218885,-0.04695051069241465,-4.8283137373023015,-4.8968988437159275,-4.844533682401035,-5.364243516664203,-5.383211462841287,-5.361485361463399,-0.06858510641362603,-0.016219945098733923,-0.018967946177084194,0.0027581552008042465
53,0.009087,0.009046,90570.2,819.3,21.6,0.005422,0.005407,93923.0,507.9,26.59,1980,1982,-3.195892923755025,-0.6754152554018575,-5.089313707985459,-0.10459995145582897,-0.08222089505994114,-2.6206761961593656,-0.4627447296627249,-5.564192085471745,-0.10531256803217923,-0.07546077111171838,-4.700910458268927,-4.755023463302656,-4.699490216466376,-5.217290527905663,-5.288201945273399,-5.253282871145166,-0.05411300503372907,0.0014202418025508479,-0.07091141736773565,-0.035992343239502844
54,0.010247,0.010195,89750.9,915.0,20.79,0.00592,0.005903,93415.1,551.4,25.73,1980,1982,-3.195892923755025,-0.6754152554018575,-4.991986398067663,-0.11166564095206317,-0.08509569516351538,-2.6206761961593656,-0.4627447296627249,-5.46382584963811,-0.10192329391331768,-0.0947260959315616,-4.5807702991645565,-4.635114966322395,-4.577640035639931,-5.129418830086223,-5.196717899445323,-5.152883897791467,-0.0543446671578387,0.0031302635246257537,-0.06729906935910002,-0.023465067705243925
