age,ax_m,b1x_m,b2x_m
0,-4.905466458501822,-0.14786133805079907,-0.17803104008716006
1,-7.5293321233443296,-0.14675162928692462,-0.07309432520653031
2,-8.017684830907566,-0.1521068784149853,-0.027579433558726458
3,-8.306788912206644,-0.17566472043834608,-0.09871908737750454
4,-8.521435392969726,-0.18179053040223916,0.03875893525794055
5,-8.646682643458051,-0.17073277051717226,-0.1733205013113886
6,-8.691927807741532,-0.1575148020296959,-0.11002790448972143
7,-8.79155038375442,-0.199865570994483,-0.07115052184605836
8,-8.761235449815105,-0.15509002856990534,-0.18139372625519143
9,-8.800917247764348,-0.14100515576780495,-0.07628207636501134
10,-8.798420126567743,-0.16022460967402982,0.022403033768335363
11,-8.696487043981826,-0.16024309370200807,-0.044868717984330966
12,-8.610307512948802,-0.13625918028262088,0.11186067325931999
13,-8.458732188778761,-0.13931132540412428,0.06672590649933899
14,-8.279524700145478,-0.14220470147250036,0.09380815754712318
15,-8.036060072656944,-0.11980012199251995,-0.009674351033675884
16,-7.7386794704188935,-0.10552700433221585,0.08289885697947971
17,-7.309137140343606,-0.11005705643179338,-0.015387274747996277
18,-7.125808892584075,-0.08677897490224792,0.13772207825327734
19,-7.105307233016008,-0.07639113965908964,0.15983276075215846
20,-7.067420474532656,-0.0636899719790952,0.11716353087440033
21,-7.08287665516948,-0.0492186573364605,0.19880046246780592
22,-7.073243359229822,-0.04325341363562637,0.21829740676000825
23,-7.081669668311767,-0.02552706745359087,0.2194669220173807
24,-7.088105918721797,-0.02422298256705354,0.27060923929540354
25,-7.074578679811781,-0.014508530811258177,0.2542292466396051
26,-7.060210997021161,-0.02030619000000552,0.1937518075526792
27,-7.042828005595709,-0.012330820304120114,0.2375752429354288
28,-7.0167071694641345,-0.014703757605798513,0.18878509370181404
29,-6.9893863660772295,-0.0009725523324474235,0.22718695798650324
30,-6.9498661748665524,0.004841581955984763,0.15256273557609548
31,-6.914414356223507,0.001664235423684556,0.18196923544958746
32,-6.85816149192832,0.004360409666987813,0.14055198194342544
33,-6.820915465771662,0.006000606742825858,0.1305046159944066
34,-6.783391605877742,0.008959671999059829,0.07579517276671885
